date,state,predicted_sales
2023-05-21,Mississippi,134729760.0
2023-05-28,Mississippi,135875980.0
2023-06-04,Mississippi,136853900.0
2023-06-11,Mississippi,138788770.0
2023-06-18,Mississippi,139480880.0
2023-06-25,Mississippi,140099740.0
2023-07-02,Mississippi,141613920.0
2023-05-14,Missouri,207962060.0
2023-05-21,Missouri,209448000.0
2023-05-28,Missouri,210640460.0
2023-06-04,Missouri,211701810.0
2023-06-11,Missouri,211092640.0
2023-06-18,Missouri,211242960.0
2023-06-25,Missouri,213381700.0
2023-07-02,Missouri,213829220.0
2023-05-14,Nebraska,66337920.0
2023-05-21,Nebraska,66337468.0
2023-05-28,Nebraska,66384744.0
2023-06-04,Nebraska,66202420.0
2023-06-11,Nebraska,66347736.0
2023-06-18,Nebraska,66482964.0
2023-06-25,Nebraska,66454548.0
2023-07-02,Nebraska,66495620.0
2023-05-14,Nevada,110367980.0
2023-05-21,Nevada,110837890.0
2023-05-28,Nevada,110652180.0
2023-06-04,Nevada,110536100.0
2023-06-11,Nevada,110525450.0
2023-06-18,Nevada,110587630.0
2023-06-25,Nevada,110232900.0
2023-07-02,Nevada,111047400.0
2023-05-14,New Hampshire,59712824.0
2023-05-21,New Hampshire,60112810.0
2023-05-28,New Hampshire,59939520.0
2023-06-04,New Hampshire,60473980.0
2023-06-11,New Hampshire,60477676.0
2023-06-18,New Hampshire,60560990.0
2023-06-25,New Hampshire,61070930.0
2023-07-02,New Hampshire,61494160.0
2023-05-14,New Mexico,78862330.0
2023-05-21,New Mexico,78959176.0
2023-05-28,New Mexico,78602890.0
2023-06-04,New Mexico,78511370.0
2023-06-11,New Mexico,78683690.0
2023-06-18,New Mexico,78741670.0
2023-06-25,New Mexico,78692296.0
2023-07-02,New Mexico,78752920.0
2023-05-14,New York,448295940.0
2023-05-21,New York,446501300.0
2023-05-28,New York,446056350.0
2023-06-04,New York,449818800.0
2023-06-11,New York,451832300.0
2023-06-18,New York,452769100.0
2023-06-25,New York,451637950.0
2023-07-02,New York,451052400.0
2023-05-14,North Carolina,371039700.0
2023-05-21,North Carolina,373530850.0
2023-05-28,North Carolina,373161900.0
2023-06-04,North Carolina,374171230.0
2023-06-11,North Carolina,373670370.0
2023-06-18,North Carolina,378160300.0
2023-06-25,North Carolina,380729920.0
2023-07-02,North Carolina,380497340.0
2023-05-14,Ohio,384979620.0
2023-05-21,Ohio,384181570.0
2023-05-28,Ohio,382523550.0
2023-06-04,Ohio,385046850.0
2023-06-11,Ohio,384852770.0
2023-06-18,Ohio,389399550.0
2023-06-25,Ohio,390990850.0
2023-07-02,Ohio,393831740.0
2023-05-14,Oklahoma,155558510.0
2023-05-21,Oklahoma,155602530.0
2023-05-28,Oklahoma,156609260.0
2023-06-04,Oklahoma,157574350.0
2023-06-11,Oklahoma,158540450.0
2023-06-18,Oklahoma,158959680.0
2023-06-25,Oklahoma,159274670.0
2023-07-02,Oklahoma,158652480.0
2023-05-14,Oregon,124287256.0
2023-05-21,Oregon,123455630.0
2023-05-28,Oregon,123799480.0
2023-06-04,Oregon,124677630.0
2023-06-11,Oregon,125321270.0
2023-06-18,Oregon,125722536.0
